,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
312,marzuq,0,YE,1547521430,73,14.4,46.47,33.28,2.93
313,mount gambier,0,AU,1547517600,17,-37.83,140.78,91.4,11.41
314,cayenne,75,GF,1547519400,83,4.94,-52.33,78.8,5.84
315,pevek,56,RU,1547521431,100,69.7,170.27,-13.43,15.68
316,luanda,20,AO,1547517600,83,-8.83,13.24,77,2.71
317,salekhard,44,RU,1547521432,59,66.54,66.62,-6.95,5.61
318,maniitsoq,32,GL,1547521432,100,65.42,-52.9,2.23,5.39
319,bukoba,75,TZ,1547517600,78,-1.33,31.81,71.6,3.27
320,ambodifototra,,,,,,,,
321,daru,0,SL,1547521433,82,7.99,-10.85,68.02,2.59
322,dikson,76,RU,1547521433,100,73.51,80.55,10.24,18.81
323,lovozero,88,RU,1547521434,92,68.01,35.02,13.84,2.59
324,bermejo,92,AR,1547521434,97,-22.73,-64.34,70.99,2.26
325,isangel,80,VU,1547521434,100,-19.55,169.27,79.54,11.65
326,ancud,24,CL,1547517600,81,-41.87,-73.83,51.8,4.7
327,bend,90,US,1547520900,92,44.06,-121.32,28.4,4.7
328,narsaq,80,GL,1547517000,68,60.91,-46.05,28.4,1.12
329,taiyuan,0,CN,1547519400,18,37.86,112.56,17.6,17.9
330,khani,0,GE,1547519400,45,41.96,42.96,46.4,17.22
331,balkhash,100,KZ,1547521436,91,46.84,74.98,21.49,13.44
332,lewistown,90,US,1547520900,95,40.39,-90.15,28.04,10.29
333,meyungs,,,,,,,,
334,bose,0,IT,1547520600,55,45.46,8.01,41,3.36
335,beringovskiy,80,RU,1547521179,100,63.05,179.32,-3.53,30.89
336,yerbogachen,64,RU,1547521438,61,61.28,108.01,-13.61,2.04
337,smithers,75,CA,1547519940,100,54.78,-127.17,30.2,2.26
338,bilma,8,NE,1547521438,36,18.69,12.92,38.23,8.41
339,inuvik,20,CA,1547517600,68,68.36,-133.71,-18.41,6.93
340,ahipara,88,NZ,1547521439,78,-35.17,173.16,68.56,18.92
341,wanning,75,AT,1547520600,74,48.64,13.53,33.8,21.92
342,bandundu,88,CD,1547521440,98,-3.32,17.38,71.62,2.82
343,cabo san lucas,90,MX,1547517180,82,22.89,-109.91,66.2,6.93
344,sao gabriel da cachoeira,12,BR,1547521228,94,-0.13,-67.09,74.86,2.15
345,port shepstone,92,ZA,1547521440,99,-30.74,30.45,73.51,3.38
346,sechelt,5,CA,1547519820,100,49.47,-123.76,37.4,2.24
347,omis,0,HR,1547519400,60,43.44,16.69,41,8.05
348,vila velha,40,BR,1547517600,88,-3.71,-38.6,80.6,2.24
349,petauke,76,ZM,1547521441,79,-14.25,31.33,70,6.4
350,tongliao,0,CN,1547521442,25,43.61,122.27,12.22,17.69
351,solsvik,,,,,,,,
352,mount pleasant,90,US,1547519700,79,33.16,-94.97,36.5,2.59
353,la palma,80,CO,1547521444,99,5.36,-74.39,64.87,2.26
354,ulaanbaatar,0,MN,1547519400,75,47.92,106.92,-16.61,2.24
355,bengkulu,,,,,,,,
356,pangnirtung,64,CA,1547521445,66,66.15,-65.72,-15.14,4.38
357,cockburn town,44,TC,1547521445,100,21.46,-71.14,78.46,9.86
358,dauphin,75,CA,1547517600,89,51.15,-100.04,32,20.8
359,tezu,36,IN,1547521446,74,27.93,96.16,52.09,1.03
360,leh,8,IN,1547521446,46,34.16,77.58,-38.09,0.69
361,kikwit,92,CD,1547521446,97,-5.04,18.82,69.19,2.71
362,parati,0,BR,1547517600,73,-20.51,-54.63,77,3.36
363,mpulungu,92,ZM,1547521447,97,-8.77,31.12,64.33,1.25
364,aitape,44,PG,1547521447,82,-3.15,142.36,84.76,11.77
365,muzhi,0,RU,1547521448,55,65.4,64.7,-11.36,3.15
366,pyinmana,0,MM,1547521448,67,19.74,96.21,73.06,2.93
367,ostrovnoy,56,RU,1547521448,77,68.05,39.51,10.33,3.15
368,atagay,0,RU,1547521449,55,55.1,99.39,-5.87,2.93
369,kachiry,76,KZ,1547521449,83,53.07,76.1,17.44,9.64
370,quezon,36,PH,1547521449,66,16.49,121.26,75.49,2.71
371,beira,90,ES,1547519400,100,43.2,-8.36,39.2,3.36
372,itoman,75,JP,1547519400,53,26.12,127.67,71.96,2.24
373,bethel,90,US,1547517360,69,60.79,-161.76,39.02,20.8
374,lata,0,IN,1547521451,83,30.78,78.62,24.73,1.59
375,qaqortoq,88,GL,1547517000,68,60.72,-46.03,28.4,1.12
376,toora-khem,0,RU,1547521452,55,52.47,96.11,-21.71,1.81
377,miraflores,68,CO,1547521452,100,5.2,-73.14,49.3,0.81
378,kampene,92,CD,1547521453,98,-3.59,26.67,69.37,2.26
379,saint-michel-des-saints,76,CA,1547521453,80,46.68,-73.92,11.14,5.39
380,beloha,48,MG,1547521453,84,-25.17,45.06,75.67,3.27
381,kerema,20,PG,1547521454,64,-7.96,145.78,86.83,3.27
382,skalistyy,,,,,,,,
383,rio grande,80,BR,1547521252,98,-32.03,-52.1,75.13,4.16
384,ca mau,20,VN,1547521454,82,9.18,105.15,84.13,5.95
385,nakamura,75,JP,1547519400,75,35.17,136.87,48.2,3.36
386,paradwip,,,,,,,,
387,tautira,75,PF,1547519400,70,-17.73,-149.15,86,13.87
388,esperance,20,TT,1547517600,83,10.24,-61.45,73.4,5.39
389,riyadh,0,SA,1547517600,58,24.63,46.72,55.4,5.82
390,puerto del rosario,0,ES,1547519400,63,28.5,-13.86,64.4,12.75
391,vao,56,EE,1547521456,86,59.1,26.19,24.1,6.96
392,buzdyak,64,RU,1547521457,84,54.57,54.53,8.98,7.52
393,olafsvik,,,,,,,,
394,saint anthony,1,US,1547517360,79,43.97,-111.68,10.04,4.7
395,santa maria,75,BR,1547517600,88,-29.69,-53.81,77,4.7
396,poum,8,MK,1547521459,82,41.28,20.71,18.52,3.27
397,saleaula,,,,,,,,
398,bila krynytsya,80,UA,1547519400,73,50.64,29.47,26.6,11.18
399,port macquarie,0,AU,1547517600,49,-31.43,152.91,89.6,14.99
400,samusu,,,,,,,,
401,mogadishu,56,SO,1547521317,100,2.04,45.34,78.82,20.27
402,luganville,8,VU,1547521460,98,-15.51,167.18,84.67,5.95
403,palabuhanratu,,,,,,,,
404,natal,40,BR,1547517600,78,-5.81,-35.21,80.6,8.05
405,ajdabiya,48,LY,1547521461,68,30.75,20.22,55.51,17.81
406,tazovskiy,80,RU,1547521461,81,67.47,78.7,11.77,3.15
407,jiangyou,44,CN,1547521462,53,31.78,104.73,43.27,8.52
408,vestmannaeyjar,36,IS,1547521462,100,63.44,-20.27,36.79,11.88
409,the valley,20,AI,1547517600,73,18.22,-63.06,75.2,8.05
410,etampes,90,FR,1547519400,81,48.43,2.15,42.8,3.36
411,turukhansk,88,RU,1547521463,78,65.8,87.96,12.49,17.81
412,moses lake,90,US,1547517180,81,47.13,-119.28,30.02,6.93
413,abu samrah,80,SY,1547521463,93,35.3,37.18,43.81,11.43
414,port keats,64,AU,1547521464,90,-14.25,129.55,88,2.71
415,necochea,92,AR,1547521246,71,-38.55,-58.74,68.2,10.76
416,jiddah,,,,,,,,
417,plouzane,90,FR,1547519400,75,48.38,-4.62,46.4,2.24
418,angoche,8,MZ,1547521465,100,-16.23,39.91,81.79,9.98
419,manggar,68,ID,1547521465,96,-2.88,108.27,82.33,6.62
420,kuala lipis,8,MY,1547521465,89,4.19,102.05,80.44,4.05
421,stargard szczecinski,0,PL,1547519400,79,53.34,15.05,32,14.99
422,rathdrum,75,IE,1547519400,87,52.93,-6.23,46.4,8.05
423,gomel,,,,,,,,
424,matay,0,EG,1547521466,83,28.42,30.79,39.49,8.97
425,tieli,0,CN,1547521467,58,46.98,128.05,5.56,11.65
426,ixtlan del rio,90,MX,1547517120,88,21.03,-104.37,68,4.7
427,boras,0,SE,1547518800,58,57.72,12.94,28.4,5.82
428,mata,20,CU,1547517000,88,22.63,-79.93,66.2,2.24
429,gacko,20,BA,1547517600,52,43.17,18.53,41,17.22
430,carbonia,0,IT,1547520600,76,39.17,8.53,48.2,8.05
431,flinders,0,AU,1547517600,58,-34.58,150.85,87.8,10.29
432,isla mujeres,90,MX,1547516520,100,21.23,-86.73,71.6,5.82
433,urengoy,76,RU,1547521469,91,65.96,78.37,15.28,4.38
434,faanui,76,PF,1547521469,100,-16.48,-151.75,82.78,17.47
435,zhigansk,8,RU,1547521470,69,66.77,123.37,-35.75,2.82
436,pitimbu,20,BR,1547517600,88,-7.47,-34.81,75.2,4.7
437,angra,,,,,,,,
438,saint-augustin,40,FR,1547519400,81,44.83,-0.61,44.6,3.36
439,lokoja,12,NG,1547521471,97,7.8,6.74,70.9,3.94
440,wenatchee,90,US,1547518920,81,47.42,-120.31,28.94,3.36
441,shu,56,KZ,1547521471,64,43.6,73.76,20.86,2.59
442,dehloran,20,IR,1547521472,83,32.69,47.27,45.61,3.6
443,cabra,0,ES,1547519400,90,37.47,-4.43,33.8,1.12
444,doctor pedro p. pena,,,,,,,,
445,ende,44,ID,1547521472,100,-8.84,121.65,81.7,3.38
446,nishihara,75,JP,1547519400,56,35.74,139.53,44.6,5.82
447,telma,0,RU,1547519400,70,52.7,103.72,-0.41,3.6
448,pierre,90,US,1547518200,100,44.37,-100.35,23,5.82
449,lasa,75,CY,1547519400,82,34.92,32.53,60.8,19.46
450,road town,20,VG,1547517180,76,18.42,-64.62,75.92,4.7
451,upernavik,8,GL,1547521474,100,72.79,-56.15,-11.63,17.69
452,karamay,,,,,,,,
453,jardim,24,BR,1547521474,73,-21.48,-56.15,79,4.16
454,yamada,75,JP,1547517600,40,36.58,137.08,51.8,16.11
455,peniche,0,PT,1547519400,87,39.36,-9.38,50,6.93
456,sidi qasim,,,,,,,,
457,nakhon thai,20,TH,1547517600,57,17.1,100.84,80.6,4.7
458,viedma,0,AR,1547521476,46,-40.81,-62.99,72.88,15.57
459,kalabo,92,ZM,1547521476,99,-15,22.67,66.31,9.86
460,vung tau,92,VN,1547521476,100,10.35,107.08,75.4,7.96
461,japura,12,ID,1547521477,73,-0.42,102.29,83.14,2.93
462,coquimbo,0,CL,1547517600,82,-29.95,-71.34,60.8,5.82
463,kwakoa,68,TZ,1547521478,99,-3.77,37.72,65.23,3.15
464,yar-sale,48,RU,1547521478,90,66.83,70.83,5.83,8.97
465,aswan,0,EG,1547521478,100,24.09,32.9,38.14,3.94
466,cururupu,80,BR,1547521478,91,-1.82,-44.87,77.83,3.27
467,kavaratti,0,IN,1547521479,100,10.57,72.64,82.24,11.43
468,petropavlovka,36,RU,1547521479,59,50.61,105.32,-8.39,3.04
469,tymovskoye,88,RU,1547521479,74,50.85,142.66,7.54,2.71
470,heinola,90,FI,1547520600,92,61.2,26.03,23,6.93
471,saint-pierre,0,FR,1547519400,93,48.95,4.24,39.2,5.82
472,de aar,0,ZA,1547521481,69,-30.65,24.01,51.64,3.04
473,schleiden,90,DE,1547520900,100,50.53,6.48,37.4,9.17
474,camacupa,80,AO,1547521481,81,-12.02,17.48,64.06,6.62
475,belyy yar,20,RU,1547519400,75,53.6,91.39,-14.81,2.24
476,conceicao da barra,24,BR,1547521482,93,-18.59,-39.73,79.27,8.52
477,bud,92,NO,1547518800,100,62.91,6.91,32,13.87
478,morro bay,90,US,1547517360,85,35.37,-120.85,53.96,9.17
479,constitucion,90,MX,1547516760,36,23.99,-104.67,62.6,5.82
480,zihuatanejo,40,MX,1547516460,78,17.64,-101.55,80.6,3.36
481,payson,1,US,1547519700,67,40.04,-111.73,24.98,1.7
482,darhan,8,MN,1547521484,29,49.49,105.92,6.55,10.65
483,poddorye,92,RU,1547521484,96,57.47,31.12,32.29,8.97
484,rawson,0,AR,1547521484,35,-43.3,-65.11,67.66,6.06
485,kyzyl-suu,12,KG,1547521484,100,42.34,78,9.61,1.25
486,kirkkonummi,0,FI,1547520600,92,60.12,24.44,15.8,6.93
487,barcelos,56,PT,1547517600,100,41.53,-8.62,41,3.36
488,moose factory,1,CA,1547517600,70,51.26,-80.61,-4.01,5.82
489,camacha,20,PT,1547519400,71,33.08,-16.33,59,4.7
490,general roca,20,AR,1547517600,64,-39.03,-67.58,68,3.36
491,rancho palos verdes,90,US,1547520900,87,33.75,-118.37,55.94,4.7
492,los llanos de aridane,0,ES,1547519400,67,28.66,-17.92,60.8,9.17
493,menongue,44,AO,1547521487,23,-14.66,17.68,76.12,7.74
494,nanortalik,92,GL,1547521393,97,60.14,-45.24,29.14,12.55
495,itea,92,GR,1547521487,100,38.43,22.42,37.87,3.83
496,doha,0,QA,1547519400,88,25.29,51.53,69.8,5.82
497,pochutla,40,MX,1547516520,69,15.74,-96.47,80.6,9.98
498,negombo,75,LK,1547518200,83,7.21,79.83,75.2,9.17
499,ono,75,JP,1547517600,40,35.98,136.49,51.8,14.99
500,manono,92,CD,1547521489,100,-7.3,27.4,67.12,3.49
501,pingzhuang,,,,,,,,
502,ileza,88,RU,1547521489,88,61.05,43.9,23.56,13.89
503,baghdad,0,IQ,1547517600,75,33.3,44.38,44.6,2.24
504,bam,64,IR,1547521490,40,29.11,58.36,49.66,5.5
505,basco,90,US,1547520900,95,40.33,-91.2,28.4,10.29
506,bathsheba,40,BB,1547517600,78,13.22,-59.52,77,12.75
507,ahuimanu,1,US,1547517420,66,21.44,-157.84,80.96,9.17
508,ola,64,RU,1547521491,100,59.58,151.3,-4.88,13.33
509,husavik,88,CA,1547521491,86,50.56,-96.99,10.33,9.75
510,waddan,0,LY,1547521492,74,29.16,16.14,39.04,8.63
511,ruwi,0,OM,1547517000,82,23.6,58.55,66.2,4.7
512,safranbolu,64,TR,1547521464,95,41.25,32.69,29.05,0.92
513,lebu,0,ET,1547521493,63,8.96,38.73,32.02,2.82
514,vero beach,20,US,1547520780,74,27.64,-80.4,62.6,8.05
515,llangefni,92,GB,1547520600,87,53.26,-4.31,48.2,19.46
516,sur,0,OM,1547521493,100,22.57,59.53,68.74,5.84
517,vigrestad,75,NO,1547517000,86,58.57,5.7,33.8,2.24
518,kilindoni,64,TZ,1547521494,100,-7.91,39.67,81.34,4.94
519,malaut,0,IN,1547521494,87,30.22,74.48,44.44,2.93
520,shaoyang,92,CN,1547521494,99,27.23,111.45,40.48,9.08
521,saldanha,56,PT,1547521495,90,41.42,-6.55,25.09,3.38
522,karratha,0,AU,1547521495,38,-20.74,116.85,97.45,9.64
523,yashkul,92,RU,1547521495,96,46.17,45.34,30.76,9.53
524,odessa,90,US,1547520780,76,31.85,-102.37,45.32,8.05
525,akodia,0,IN,1547521496,72,23.37,76.56,47.32,2.93
526,ixtapa,90,MX,1547516940,73,20.71,-105.21,77,3.36
527,vrangel,56,RU,1547521496,100,42.73,133.08,31.93,18.48
528,santa isabel do rio negro,48,BR,1547521497,90,-0.41,-65.02,77.47,3.71
529,zemio,32,CF,1547521497,73,5.02,25.13,73.33,5.95
530,gazojak,92,TM,1547521497,96,41.19,61.4,40.48,7.96
531,havre-saint-pierre,90,CA,1547517600,72,50.23,-63.6,15.8,8.05
532,ponta do sol,56,BR,1547521498,80,-20.63,-46,69.37,4.27
533,calabozo,0,VE,1547521222,42,8.92,-67.43,78.01,15.12
534,vardo,1,US,1547519700,95,39.62,-77.74,26.06,4.7
535,kalikino,92,RU,1547521499,93,52.95,39.83,29.86,15.46
536,lulea,92,SE,1547518800,92,65.58,22.15,15.8,5.82
537,balgarovo,0,BG,1547519400,86,42.62,27.31,33.8,6.93
538,roebourne,0,AU,1547521500,38,-20.77,117.15,97.45,9.64
539,dongzhen,32,CN,1547521500,52,43.33,129.73,15.28,8.63
540,marcona,,,,,,,,
541,berdigestyakh,0,RU,1547521500,76,62.1,126.7,-38.09,2.59
542,muncar,56,ID,1547521501,92,-8.43,114.34,82.33,2.15
543,kirkwood,75,ZA,1547517600,82,-33.4,25.44,66.2,6.93
544,kununurra,40,AU,1547519400,62,-15.77,128.74,89.6,4.7
545,conde,48,BR,1547521502,91,-11.81,-37.61,78.37,7.74
546,ginir,0,ET,1547521502,64,7.14,40.71,43.18,2.59
547,bilibino,24,RU,1547521502,0,68.06,166.44,-46.28,2.26
548,chara,75,GR,1547520600,87,39.42,22.43,39.2,10.29
549,inhambane,92,MZ,1547521503,100,-23.87,35.38,78.37,12.21
550,pop,90,UZ,1547519400,64,40.87,71.1,35.6,4.7
551,whitianga,36,NZ,1547521503,100,-36.83,175.7,65.23,2.93
552,kralendijk,68,BQ,1547517300,78,12.15,-68.27,77,10.29
553,la libertad,90,PE,1547517600,71,-16.38,-71.56,57.2,3.36
554,halifax,20,CA,1547517600,85,44.65,-63.58,10.4,9.17
555,batemans bay,0,AU,1547521505,50,-35.71,150.18,90.07,5.73
556,skjervoy,64,NO,1547521505,100,70.03,20.97,29.68,12.33
557,podbelsk,,,,,,,,
558,bacuit,,,,,,,,
559,monticello,1,US,1547520960,84,45.31,-93.79,30.2,3.38
560,feicheng,36,CN,1547521507,28,36.18,116.77,25.72,16.24
561,tual,8,ID,1547521507,100,-5.67,132.75,81.97,9.42
562,palauig,0,PH,1547521508,73,15.44,119.9,81.79,4.38
563,kyaukse,75,MM,1547519400,93,21.6,96.13,64.4,3.36
564,huilong,80,CN,1547521509,89,28.89,110.18,40.84,4.05
565,leninskoye,0,RU,1547519400,72,54.82,82.85,12.2,17.9
566,tongchuan,0,CN,1547517600,24,34.9,108.95,35.6,8.95
567,nouadhibou,75,MR,1547517600,93,20.93,-17.03,62.6,9.17
568,karkaralinsk,,,,,,,,
569,bushenyi,68,UG,1547521510,82,-0.54,30.19,59.2,2.93
570,khandagayty,0,MN,1547521510,58,50.73,92.07,-23.33,2.59
571,samarai,36,PG,1547521511,99,-10.62,150.67,83.5,14.23
572,lamar,1,US,1547517180,84,38.09,-102.62,28.04,10.29
573,sobolevo,76,RU,1547521511,91,54.43,31.9,26.98,14.67
574,kulhudhuffushi,80,MV,1547521512,100,6.62,73.07,81.97,7.07
575,juneau,90,US,1547518980,100,58.3,-134.42,37.4,2.71
576,ust-maya,64,RU,1547521512,57,60.42,134.54,-32.96,3.6
577,mirina,,,,,,,,
578,copala,0,MX,1547521513,99,16.61,-98.97,69.64,2.71
579,buala,48,SB,1547521513,92,-8.15,159.59,83.59,6.06
580,louisbourg,,,,,,,,
581,gedo,0,ET,1547521513,60,9.01,37.45,41.02,2.93
582,monterey,90,US,1547519400,76,36.6,-121.89,53.6,5.82
583,stonewall,90,CA,1547520720,78,50.13,-97.33,14,12.75
584,carballo,90,ES,1547519400,100,43.21,-8.69,39.2,3.36
585,andevoranto,,,,,,,,
586,dezhou,8,CN,1547521515,21,37.45,116.31,26.26,17.58
587,greenfield,1,US,1547520780,77,42.59,-72.6,24.08,3.36
588,mbandaka,88,CD,1547521516,100,0.05,18.26,73.06,2.48
589,ondjiva,32,AO,1547521516,31,-17.07,15.73,69.73,9.75
590,conceicao do araguaia,0,BR,1547521226,95,-8.26,-49.26,73.87,2.71
591,vanavara,56,RU,1547521517,66,60.35,102.28,-9.38,4.05
592,naryan-mar,64,RU,1547521517,78,67.67,53.09,15.82,11.21
593,ketchikan,90,US,1547519280,100,55.34,-131.65,46.04,7.4
594,panjab,0,AF,1547521518,52,34.38,67.02,0.61,1.36
595,ganzhou,92,CN,1547521518,93,25.86,114.93,49.39,5.06
596,marsa matruh,40,EG,1547517600,46,31.35,27.25,50,14.99
597,yantal,88,RU,1547521519,79,56.85,105.25,3.31,3.27
598,emba,75,CY,1547519400,82,34.81,32.42,60.8,19.46
599,otjimbingwe,80,NA,1547521520,91,-22.35,16.13,63.43,2.71
600,san angelo,90,US,1547517060,78,31.46,-100.44,44.06,9.42
601,mouzakion,,,,,,,,
602,hofn,0,IS,1547521520,100,64.25,-15.21,35.26,8.63
603,mana,40,RS,1547521200,76,43.52,20.24,32,8.05
604,ndele,,,,,,,,
605,yaan,8,NG,1547521521,84,7.38,8.57,75.13,7.4
606,finschhafen,56,PG,1547521521,93,-6.6,147.85,78.01,1.7
607,sao felix do xingu,36,BR,1547521396,100,-6.64,-51.99,69.73,2.04
608,faya,0,SA,1547517600,11,18.39,42.45,53.6,2.26
609,hanford,1,US,1547519700,100,36.33,-119.65,50,3.36
610,yuzhno-yeniseyskiy,,,,,,,,
611,kajaani,90,FI,1547520600,85,64.22,27.73,17.6,11.41
612,pauini,8,BR,1547521523,90,-7.71,-67,74.86,5.17
613,temaraia,,,,,,,,
614,pag,20,HR,1547519400,56,44.45,15.06,42.8,10.29
615,biu,0,NG,1547521524,35,10.61,12.19,58.39,6.62
616,nantucket,1,US,1547520780,87,41.28,-70.1,30.92,3.36
617,port said,0,EG,1547521524,71,25.34,30.55,32.2,2.93
618,paragominas,92,BR,1547521525,100,-3,-47.35,70.99,4.05
619,sorvag,,,,,,,,
620,toliary,,,,,,,,
621,onguday,0,RU,1547521525,39,50.75,86.14,-15.14,1.92
